distance matrix with 200 points
value range: [0.0119583,2.82822]
persistence intervals in dim 0:
 [1.77399,1.86994)
 [1.76719,1.81278)
 [1.76359,1.77315)
 [1.76168,1.80314)
 [1.7614,1.86079)
 [1.76123,1.8433)
 [1.76081,1.78947)
 [1.76077,1.81291)
 [1.75961,1.84389)
 [1.75679,1.84682)
 [1.18835,1.86533)
